Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,streamDur,Response,versionName,repGoal
Human,1,1,Motor,135,Visual,TE,5.25,3,4.89,5.25,4.894,Calibrated,Stream
Human,1,1,Motor,136,Visual,TE,3.5,3.5,3.15,6.75,4.313,Calibrated,Target
Human,1,1,Motor,136,Visual,TE,6.75,3.5,4.31,6.75,4.313,Calibrated,Stream
Human,1,1,Motor,137,Visual,TE,1.5,1.5,2.16,6.25,5.417,Calibrated,Target
Human,1,1,Motor,137,Visual,TE,6.25,1.5,5.42,6.25,5.417,Calibrated,Stream
Human,1,1,Motor,138,Visual,TE,2,2,3.27,6.25,5.13,Calibrated,Target
Human,1,1,Motor,138,Visual,TE,6.25,2,5.13,6.25,5.13,Calibrated,Stream
Human,1,1,Motor,139,Visual,TE,4,4,5.2,5.25,6.483,Calibrated,Target
Human,1,1,Motor,139,Visual,TE,5.25,4,6.48,5.25,6.483,Calibrated,Stream
Human,1,1,Motor,140,Visual,TE,2.5,2.5,2.94,4.75,4.818,Calibrated,Target
Human,1,1,Motor,140,Visual,TE,4.75,2.5,4.82,4.75,4.818,Calibrated,Stream
Human,1,1,Motor,141,Visual,TE,1.5,1.5,2.17,4.75,5.232,Calibrated,Target
Human,1,1,Motor,141,Visual,TE,4.75,1.5,5.23,4.75,5.232,Calibrated,Stream
Human,1,1,Motor,142,Visual,TE,6,6,5.11,7.25,6.779,Calibrated,Target
Human,1,1,Motor,142,Visual,TE,7.25,6,6.78,7.25,6.779,Calibrated,Stream
Human,1,1,Motor,143,Visual,TE,3.5,3.5,3.2,4.75,4.894,Calibrated,Target
Human,1,1,Motor,143,Visual,TE,4.75,3.5,4.89,4.75,4.894,Calibrated,Stream
Human,1,1,Motor,144,Visual,TE,2,2,3.04,4.75,3.626,Calibrated,Target
Human,1,1,Motor,144,Visual,TE,4.75,2,3.63,4.75,3.626,Calibrated,Stream
Human,2,1,Motor,13,Visual,TE,2.5,2.5,2.85,4.75,4.681,Calibrated,Target
Human,2,1,Motor,13,Visual,TE,4.75,2.5,4.68,4.75,4.681,Calibrated,Stream
Human,2,1,Motor,14,Visual,TE,3,3,2.61,7.25,5.877,Calibrated,Target
Human,2,1,Motor,14,Visual,TE,7.25,3,5.88,7.25,5.877,Calibrated,Stream
Human,2,1,Motor,15,Visual,TE,3,3,3.2,7.25,6.257,Calibrated,Target
Human,2,1,Motor,15,Visual,TE,7.25,3,6.26,7.25,6.257,Calibrated,Stream
Human,2,1,Motor,16,Visual,TE,2.5,2.5,3.05,4.75,5.971,Calibrated,Target
Human,2,1,Motor,16,Visual,TE,4.75,2.5,5.97,4.75,5.971,Calibrated,Stream
Human,2,1,Motor,17,Visual,TE,2,2,2.3,7.25,5.825,Calibrated,Target
Human,2,1,Motor,17,Visual,TE,7.25,2,5.83,7.25,5.825,Calibrated,Stream
Human,2,1,Motor,18,Visual,TE,4.5,4.5,3.47,6.75,5.808,Calibrated,Target
