Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time,Condition
Human,3,1,1,28,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.895,Auditory,0.7,0,N/A,Filled
Human,3,1,1,29,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,1,N/A,Filled
Human,3,1,1,30,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,1,N/A,Filled
Human,3,1,1,31,Auditory,TOJ,Adaptive,Duration,0.155,Auditory,0.855,Auditory,0.7,1,N/A,Filled
Human,3,1,1,32,Auditory,TOJ,Adaptive,Duration,0.145,Auditory,0.845,Auditory,0.7,1,N/A,Filled
Human,3,1,1,33,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,0,N/A,Filled
Human,3,1,1,34,Auditory,TOJ,Adaptive,Duration,0.125,Auditory,0.7,Auditory,0.825,1,N/A,Filled
Human,3,1,1,35,Auditory,TOJ,Adaptive,Duration,0.115,Auditory,0.7,Auditory,0.815,1,N/A,Filled
Human,3,1,1,36,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.7,Auditory,0.805,1,N/A,Filled
Human,3,1,1,37,Auditory,TOJ,Adaptive,Duration,0.095,Auditory,0.795,Auditory,0.7,0,N/A,Filled
Human,3,1,1,38,Auditory,TOJ,Adaptive,Duration,0.085,Auditory,0.785,Auditory,0.7,1,N/A,Filled
Human,3,1,1,39,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.775,Auditory,0.7,1,N/A,Filled
Human,3,1,1,40,Auditory,TOJ,Adaptive,Duration,0.065,Auditory,0.765,Auditory,0.7,1,N/A,Filled
Human,3,1,1,41,Auditory,TOJ,Adaptive,Duration,0.055,Auditory,0.7,Auditory,0.755,0,N/A,Filled
Human,3,1,1,42,Auditory,TOJ,Adaptive,Duration,0.085,Auditory,0.7,Auditory,0.785,0,N/A,Filled
Human,3,1,1,43,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,1,N/A,Filled
Human,3,1,1,44,Auditory,TOJ,Adaptive,Duration,0.065,Auditory,0.7,Auditory,0.765,1,N/A,Filled
Human,3,1,1,45,Auditory,TOJ,Adaptive,Duration,0.055,Auditory,0.7,Auditory,0.755,1,N/A,Filled
Human,3,1,1,46,Auditory,TOJ,Adaptive,Duration,0.045,Auditory,0.7,Auditory,0.745,1,N/A,Filled
Human,3,1,1,47,Auditory,TOJ,Adaptive,Duration,0.035,Auditory,0.7,Auditory,0.735,1,N/A,Filled
Human,3,1,1,48,Auditory,TOJ,Adaptive,Duration,0.025,Auditory,0.7,Auditory,0.725,1,N/A,Filled
Human,3,1,1,49,Auditory,TOJ,Adaptive,Duration,0.015,Auditory,0.715,Auditory,0.7,0,N/A,Filled
Human,3,1,1,50,Auditory,TOJ,Adaptive,Duration,0.005,Auditory,0.705,Auditory,0.7,1,N/A,Filled
Human,4,1,1,1,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,N/A,Filled
Human,4,1,1,2,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.7,Auditory,0.985,1,N/A,Filled
Human,4,1,1,3,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.97,Auditory,0.7,0,N/A,Filled
Human,4,1,1,4,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,0,N/A,Filled
Human,4,1,1,5,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,1,Auditory,0.7,1,N/A,Filled
Human,4,1,1,6,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.7,Auditory,0.985,0,N/A,Filled
Human,4,1,1,7,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.97,Auditory,0.7,0,N/A,Filled
Human,4,1,1,8,Auditory,TOJ,Adaptive,Duration,0.315,Auditory,1.015,Auditory,0.7,0,N/A,Filled
Human,4,1,1,9,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,N/A,Filled
Human,4,1,1,10,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.7,Auditory,0.985,1,N/A,Filled
Human,4,1,1,11,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,1,N/A,Filled
Human,4,1,1,12,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.955,Auditory,0.7,0,N/A,Filled
Human,4,1,1,13,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,1,N/A,Filled
Human,4,1,1,14,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.985,Auditory,0.7,0,N/A,Filled
Human,4,1,1,15,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.97,Auditory,0.7,1,N/A,Filled
Human,4,1,1,16,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.955,Auditory,0.7,1,N/A,Filled
Human,4,1,1,17,Auditory,TOJ,Adaptive,Duration,0.24,Auditory,0.7,Auditory,0.94,0,N/A,Filled
Human,4,1,1,18,Auditory,TOJ,Adaptive,Duration,0.225,Auditory,0.7,Auditory,0.925,1,N/A,Filled
Human,4,1,1,19,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.91,Auditory,0.7,0,N/A,Filled
